"job_id","sentence"
"JFD23003139","Ervaring met IP management tooling"
"JFD23003139","Kennis van VLAN configuraties"
"JFD23003139","Administratieve achtergrond"
"JFD23003139","HBO denk en werkniveau"
"JFD23003139","Softskills"
"JFD23003139","Je bent stressbestendig stelt prioriteiten werkt zelfstandig en nauwkeurig maar vindt het samenwerken in teamverband essentieel"
"JFD23003139","Je bent analytisch en pragmatisch resultaat en kwaliteitsgericht"
"JFD23003139","Je beschikt over uitstekende communicatieve vaardigheden"
"JFD23004400","HBO werk en denkniveau"
"JFD23004400","Minimaal 3 jaar werkervaring als .NET developer of .NET consultant"
"JFD23004400","Je hebt ervaring met C en of ASP.NET"
"JFD23004400","Goede beheersing van SQL server"
"JFD23004400","Goede beheersing van de Nederlandse taal"
"JFD23004400","Je werkt graag in teamverband en je vindt het leuk om te sparren met collega s"
"JFD23004400","MCTS MCPD certificering"
"JFD23004400","Kennis ervaring met BI en X"
"JFD23004476","HBO werk denk niveau"
"JFD23004476","Je hebt een relevante IT opleiding afgerond aangevuld met minimaal 5 jaar ervaring in een soortgelijke rol"
"JFD23004476","Je hebt ruime ervaring met Microsoft servertechnologie en bent hierin gecertificeerd MCSA MCTS MCTIP"
"JFD23004476","Den hierbij aan operating systems server en desktop en server producten als Exchange Sharepoint en Active Directory"
"JFD23004476","Je hebt kennis en ervaring met netwerkbeheer CCNA niveau en technieken Juniper firewalls HP en Cisco switches Cisco routers Wireless networking Ipv4 Ipv6 QoS VLAN s OSI model monitoringtools"
"JFD23004476","Je hebt ervaring met beheersoftware en virtualisatietechnieken HyperV basis Vmware MS System Center"
"JFD23004476","Je hebt ervaring met het beheren van server hardware Supermicro HP een SAN high availability server setups HA DAS"
"JFD23004476","Als je kennis hebt van videoconferencing is dat een pre"
"JFD23004476","Je bent sociaal communicatief vaardig zowel mondeling als schriftelijk zelfstandig en functioneert goed in een team"
"JFD23004477","Je hebt een afgeronde HIO opleiding Hogere Informatica Opleiding en of Technische Informatica"
"JFD23004477","Je hebt tenminste 5 jaar ervaring met SCRUM"
"JFD23004477","Ervaring met .NET programmatuur"
"JFD23004477","Je weet als geen ander je teamgenoten te coachen en te motiveren"
"JFD23004477","Je bent een echte teamplayer sociaal en gericht op het delen van kennis"
"JFD23004477","Verder sta je natuurlijk open voor andere ideeen methoden en technieken"
"JFD23004477","Goede beheersing van de Nederlandse taal in woord en geschrift"
"JFD23004768","HBO WO afgeronde technische opleiding"
"JFD23004768","Je hebt tenminste 2 jaar werkervaring als C developer .NET developer"
"JFD23004768","Je hebt ervaring met SQL"
"JFD23004768","Goede beheersing van de Nederlandse taalAanbod"
